id,review,date,score
Millenium,"To put it simply, The Last of Us 2 succeeds in achieving excellence in everything it does. Its poignant story, with strong themes, is well-paced, the gameplay thoroughly reworked, allowing the rage of its heroine to express itself, all wrapped in the most elegant of bows. Far beyond the simple, unfounded sequel that some feared, TLOU2 marks the expansion of the universe linked to Ellie and Joel's first adventures thanks to a new, emotionally-charged and challenging quest. The latest Naughty Dog title undoubtedly ranks among the best titles on the PS4.",2020-06-12,95.0
Easy Allies,"The Last of Us Part II presents an absolutely crucial and challenging narrative about love and hate. Characters have convincing motivations that leave you thinking about more than what’s in front of you. The places it takes you to are awe-inspiring to explore, with unrivaled attention to detail, and although the combat is somewhat forgiving, it remains thrilling throughout much of the harrowing journey. The Last of Us Part II leaves a deep, emotional impact, and this unforgettable continuation should not be missed.",2020-06-12,95.0
Wccftech,The Last of Us Part II is bleak and at times leaves the player feeling hopeless as they play through one of the finest crafted pieces of gaming ever to grace a home console. This is one game that people will be talking about for a long time.,2020-06-12,95.0
Press Start Australia,"Though it’s destined to displease those who built Ellie and Joel up as infallible, as an observation of impermanence, tribalism and the terrible cycle of violence that exists at the centre of what’s left of the human experience in this world. The Last of Us Part II is a spectacular sequel, it’s a brave and unexpected direction for the series, expanding on the world both narratively and mechanically, producing a far sounder and rounded experience that never falters or gets in the way of the game’s clear storytelling strength.",2020-06-12,95.0
PSX-Sense.nl,"Naughty Dog has given the PlayStation 4 a phenomenal swan song. The gameplay may be more of the same, but the amazing story and incredibly detailed world make up for that big time! The Last of Us Part II comes close to perfection. A must have, beyond doubt.",2020-06-12,95.0
GamesBeat,"I said that the original game is the very best of what video games can be on the PlayStation 3. And this game, available on the PlayStation 4 on June 19, also represents the very best of what video games can be.",2020-06-12,95.0
IGN Italia,"With The Last of Us: Part 2, Naughty Dog delivers yet another masterpiece by telling a story about revenge, anger, grief, and regrets, that you should experience at least once in a lifetime, no matter what.",2020-06-12,95.0
4Players.de,"The Last of Us Part 2 will look deep into your eyes - and you will be scared. Naughty Dog shows maturity, courage and sheer class. Absolutely brilliant!",2020-06-12,94.0
Meristation,"The Last of Us Part II marks a real turning point from a narrative perspective on videogames. The game is arguably better than the previous entry in a mechanical perspective; both its level design, the animations and combat system have been much improved. Ellie is the cornerstone of the story, and we can feel through her the real message that Naughty Dog is telling us during the adventure. Despite its simple puzzles and some overly-long sections, the title shines in every single aspect. TLOU2 is brilliant.",2020-06-12,93.0
AusGamers,"It’s not for the faint of heart, and takes the post-apocalyptic formula to new brutality heights, but you’ll have dreaded fun while plotting your course both through the game, and for revenge. After all, it’s a dish best served cold, and more often than not you’ll be shivering outside in the rain-drenched black of night, bruised, bloodied and battered. Staring at the last two rounds in your weapon, wishing you had a fuse for your near-completed molotov while hearing the echo-location clicks of the poor bastards swaying in the corner, the pandemic turned into living purple 1-Down mushrooms.",2020-06-12,92.0
Player 2,"The Last of Us: Part 2 is a brutal, bleak and relentless experience that gives players no chance to breathe or relax. At the same time it is a game like no other and deserves to be played, if not enjoyed, by everyone with a Sony system.",2020-06-12,91.0
IGN Spain,"Without leaving the same taste in you mouth as the masterpiece that is its first installment, The Last of Us - Part 2 is an excellent game that will make us reflect on the value of loss in a cruel and violent world so perfectly reflected that the player is not comfortable performing certain crude actions. Undoubtedly, Naughty Dog again puts the finishing touch on a PlayStation generation.",2020-06-12,90.0
Shacknews,"The Last of Us Part 2 is not for everyone. It is a dark and riveting experiment. A symphony of madness, revenge, and brutality. It is the song of humanity’s greatest darkness, and an absolute delight to partake in. The fine folks at Naughty Dog have outdone themselves this time around. The clever blend of cinematics and gameplay all come together perfectly to create an unforgettable experience that rivals some of the greatest classics in American cinema. All that’s left to do now is see it for yourself.",2020-06-12,90.0
USgamer,"The Last of Us Part 2 is an outstanding action game; a darker, more introspective follow-up that seeks to challenge the conventions of big-budget action games. In this it's not always successful, but its execution is impeccable, and its story proves an appropriate bookend to the story of Joel and Ellie. In short, it's some of Naughty Dog's best work.",2020-06-12,90.0
VideoGamer,"Where it succeeds isn’t in how close it scrapes to the level of prestige TV, or to films. Its coup is not, “Look how closely we can make games resemble highbrow art.” It’s more, “Look what previously fenced-off realms we can get interactivity into.""",2020-06-12,90.0
Video Chums,"While the end credits rolled, I felt hollow, hopeless, frustrated, and downright disgusted. I'll never play through it again. With that being said; there's no denying that what The Last of Us Part II accomplishes with its visuals, mood, and gameplay is nothing short of amazing.",2020-06-12,90.0
Metro GameCentral,"A milestone in action video game storytelling and while the gameplay is not nearly as inspired, the experience as a whole is one of the best of the generation.",2020-06-12,90.0
CGMagazine,The Last of Us Part II is a perfectly paced emotional rollercoaster ride from start to finish and a worthy sequel that lives up to the original.,2020-06-12,90.0
Gamer.no,"The Last of Us Part II is just as good as the original. The writing is consistently great, making for a dark and deeply emotional story that paves the way for incredible character growth and tons of exciting stealth gameplay. Parts of the game could be more streamlined; looting tends to detract from the moment-to-moment drama; and the environments lack something in terms of variety, but almost everything else is really, really well made.",2020-06-12,90.0
Destructoid,"Part II doesn't re-invent the wheel, but it gives us a lasting glimpse of a unique world that's worth visiting time and time again.",2020-06-12,85.0
Digital Spy,"The Last of Us 2 is going to be divisive. Naughty Dog has made brave narrative choices for its difficult second album, which we massively respect. We would just have liked to have seen the same applied to the gameplay. It's still solid and thrilling, and if you loved the first game, this is a must-play. It's not as groundbreaking, but equally as heartbreaking.",2020-06-12,80.0
New Game Network,"The Last of Us Part II offers more of the same great stealth gameplay, as you face overwhelming odds in increasingly challenging and haunting environments. But with an ambitiously structured narrative that doesn't pay off, and the new cast lacking chemistry, this adventure can't quite live up to its predecessor.",2020-06-12,80.0
Stevivor,"While Naughty Dog has valiantly tried to accomplish the seemingly impossible, it has fallen short and in doing so revealed the bag of tricks used to exploit our emotions so effectively back in the day. The result is a polished, enjoyable romp that plays superbly but gnaws at the back of your brain in all the wrong ways.",2020-06-12,80.0
GameSpot,"It's a hard game to stomach, in part because so much of who Ellie is and what she does is beyond your control. She is deeply complicated and flawed, and her selfishness hurts a lot of people. At times, the pain you inflict feels so senseless that it can leave you numb. It's all messy and bleak and made me profoundly sad for myriad reasons, but the more I reflect on it, the more I appreciate the story and characters at its core. I wanted almost none of it to happen the way it did, and that's what's both beautiful and devastating about it.",2020-06-12,80.0
Game Revolution,"This excessive padding and theoretically noble attempt to dive into deeper subjects also negatively impacts the gameplay, too, as even its ace combat mechanics can’t quite stay fresh and exciting when repeated that often over the span of 30 hours. What’s left is a Bloater that’s forsaken enough of its soul to only just barely still be recognizable in its current form, shuffling around and proving that, unlike Ellie, it is not immune to devolving into a lesser form of itself.",2020-06-12,70.0
GAMINGbible,"As a video game sequel, it ticks all the boxes of being bigger and better with more to say. But as a story, as an experience following one of the most critically acclaimed tales ever told in this medium, it sits uncomfortably on a knife's edge, waiting for the passage of time to pull it one way or the other.",2020-06-12,70.0
IGN Japan,"The Last of Us Part II tries too hard to differentiate itself from its predecessor. While astonishing cityscapes and more varied combat options are great evolutions, Part II lacks the poetic serenity that made the original road-movie-like epic such a masterpiece. On top of that, uninteresting new characters burden the story, making Ellie's journey feel conventional and not nearly as captivating as the original.",2020-06-12,70.0
